Rank,Resume Index,Resume Text
11,405,"ONLINE LEARNING COORDINATOR - PROGRAM TRAINING AND SUPPORT
Summary
To effectively and innovatively influence student and staff knowledge and skills with learning technologies and learning management systems through
support and online education.
Core Qualifications
Multiple Learning Management System platform 
experience: Schoology, Desire2Learn (D2L),
Moodle, Blackboard
Multiple platforms to enhance the use of technology 
as a mode of learning: mobile learning,
tablet computing, online professio..."
12,802,"BUSINESS DEVELOPMENT MANAGER
Summary
With 11 years of diverse managerial and marketing experience penetrating in domestic and international markets including Manufacturing,
Engineering, Food and IT, I have honed my communication and marketing research abilities to gauge demand for products and explore new
clients. Having managed several big projects, I have learnt to maintain equanimity under pressure and achieve goals both as a cross functional team
member and individual contributor.
Skills
Det..."
13,1523,"ENGINEERING TEAM LEAD
Career Overview
Engineering Team Lead with years of experience working at every level and stage of the software development life-cycle. Independently motivated
to discover new techniques through self evaluation and improvement. Qualified in coaching individuals and teams on Agile and Scrum principles.
Detail-oriented professional with extensive software development experience using a wide variety of languages. Believes success is defined by
highest value delivered in shorte..."
14,239,"PATIENT ACCESS REP
Summary
Dependable Computer Application Analyst, with comprehensive experiences diagnosing and troubleshooting Network, hardware and desktop
issues; tracking and evaluating IT infrastructure incidents; and diverse industry experience in health care and government. Expertise includes
systems applications, technical helpdesk experience, information protection analysis, On-call experiences and troubleshooting in distributed multi-
tier environments. Advanced skills using Epic med..."
15,517,"Highlights
Prog. Languages: 
C (5+ yrs), Python (3+ yrs), Java (3+ yrs), MATLAB (Simulink) (5+ yrs), R (2 yrs), Processing (2yrs), SQL(4+ yrs),
PLC(2 yrs)
Doc. Editing: 
Word/PPT/Excel, Pages/Numbers/Keynote, LATEX
Mechanical Design: 
AutoCAD (6 yrs), Solidworks (5+ yrs)
Mechanical Skills: 
MakerBot 3D print, Laser cut, Mill, Drill, Lathe Machine.
Statistics Softwares: 
STATA, SPSS
Database Softwares: 
SQL Server (4 yrs), Navicat (2 yrs)
Operating Systems: 
Windows 7/10, OS X
Experience
Company ..."
16,2273,"SALES COORDINATOR
Summary
Current MS of Data Analytics graduate student with exposure to data analysis and modeling 
skills. Seeking evolutionary role in analytics that will
allow to adapt and change to company 
and problem solving needs.
Skills
Excellent quantitative skills 
Advanced MS Office
Suite knowledge
Strong knowledge of R, Excel 
Advanced Excel
modeling
Excellent research skills 
Business systems
analysis
Knowledge of statistical analysis and 
Superb
communication skills
Algorithm deve..."
17,1390,"SOFTWARE ENGINEER
Summary
Accomplished development professional with over ten years of experience in integrating IT Operations processes with sustainable customized
applications to promote team performance and efficiency gains. An apt student in programming and markup languages matching multiple
technologies together to best enhance and complement IT Service Management and Project Management best practices and deliver consistent,
quality solutions in the fast-paced, evolving environment of techn..."
18,1560,"ENGINEERING MANAGER
Summary
Versatile bilingual Electronics and Instrumentation Engineer with multi industry experience of + 9 years demonstrated ability to lead an engineering
team, and handle multiple projects from conceptualization through fabrication with high accuracy and in a timely manner.
Highlights
Fluent in Spanish 
Strong decision maker
Work well under pressure
Initiative to work independently
 
EIT
 
License in process
 
Autocad and SAP user
Python and Labview training
ASME and OSHA ..."
19,292,"SOFTWARE DEVELOPER
Professional Summary
Enthusiastic computer engineer eager to contribute to team success through hard work, attention to detail and excellent organizational skills.
Technical professional with complete understanding of entire software development life cycle. Respectful self-motivator gifted at finding reliable
solutions for software issues. Experienced in c#, python, HTML, SQL, node.js/javascript and working knowledge of Restful API design &
implementations. Fluent in English a..."
20,1148,"CONSULTANT
Profile
Skilled professional with 15 years of experience in electrical and quality engineering for numerous engineering 
and quality control processes.
Expertise in creating detailed test plans and test cases for optimal quality control. 
Solid background in various testing methodologies for both client-
facing and non-client-facing procedures 
and products.
Experience
Customer Relations
Â Monitored customer technical related issues
Â Maximized operational efficiency by coaching staff..."
21,2320,"SALES ENGINEER
Summary
I am currently looking to advance my career in a position that offers a greater challenge, and the opportunity to enhance the company's productivity
and reputation. With my educational background and the experience which I have gained in my previous position, I can effectively connect with
customers, sales team, and the professional services department.
Skills
Strong analytical skills
Excellent communication skills
Strong interpersonal skills
Critical thinker
Data mining
D..."
22,1404,"MEDIA SUPPORT SPECIALIST
Professional Summary
I've been working in the Technical Support field for the last 4+ years honing my professional skills as well as applying a personality that has lead
me to work directly with senior level clients.Â 
This has involved traveling across the country installing hardware/software; as well as training/supporting clients in a high stress environment in the
television broadcast/automotive industries.
I am not just looking for a specific position, but a company..."
23,2051,"DIRECTOR OF INFORMATION TECHNOLOGY
Professional Summary
Dynamic Information Technology Manager with 13 years of IT leadership experience including oversight of infrastructure, application support and
cybersecurity services. Dedicated to customer satisfaction with focused delivery of technical solutions. Proven leader in directing operations,
maintenance and support of complex systems. Develops creative business solutions, leveraging diverse methodologies and delivering engineering
solutions for ..."
24,1147,"IT CONSULTANT
Professional Summary
Support Engineer with Public Trust Clearance and 10 years of Information Technology experience in installing, maintaining, and repairing
hardware, software, and networks. Work well independently, or in a group setting providing all facets of server, computer and network support.
Fluent in Spanish.
Core Qualifications
Technical Hardware: Windows, Macintosh, IBM, Dell, Toshiba, Sony, HP, Cisco routers, switches, network printers Operating Systems and
Networks: Wi..."
25,1521,"ENGINEERING MANAGER
Summary
To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected
devices. Vision to create personalized experiences based on machine learning.
Highlights
Linux, Unix, RTOSs - OS 9 & VxWorks, 
DOS,
MS- Windows,
Socs related to media players and set tops --
Broadcom, Intel, STMicro, Sigma DesignÂ 
Microprocessors/micro controllers -- ARM,
MIPS, 8088, 8087, 8031, 8051
Digital and analog hardwar..."
26,2146,"INFORMATION TECHNOLOGY SPECIALIST
Summary
Highly skilled and results-oriented IT specialistÂ with extensive experience in Software Development, Software Configuration Management,
Project Management, System Planning & Specification Development, CMMI5, Quality Assurance and Testing.Â 
Highlights
Process improvement
Quality assurance and control
Results-oriented
Relationship building
Productivity improvement
Project development and lifecycle
Detail-oriented
Work flow planning
Experience
Information..."
27,854,"BUSINESS DEVELOPMENT ANALYST
Summary
Extensive Analyst experience with emphasis on Business Development and Data Analytic
Ambitious, detailed-oriented Business Professional with a high degree of mastery in analyzing complex business objectives and meeting deadlines
under pressure. Urgently adapts to challenges and changing environments. Achievement-driven with a demonstrated history of exceeding
development requirements and problem solving. Top-preforming at providing financial support and culti..."
28,1955,"VOLUNTEER HR -IVOLUNTEER
Summary
Sponsorship not required to work in the US A successful Human Resources Professional, with a Masters qualification in Human Resources and
experience in a challenging environment Key skill sets include Recruitment - Recruitment efforts, scheduling, posting positions, follow up and offer
letters. Seasoned executive with 10 + years Staffing, Technology Recruiting and Staffing experience with a highly successful track record at big
firms such as Nokia and also Small-..."
29,2038,"WORKING RF SYSTEMS ENGINEER
Qualifications
Microsoft office/Office for Mac, pages, numbers, keynote Â· RF/Microwave software: Ansoft Designer, AWR Microwave Office. Â· RF test
instruments: Spectrum analyzer, Vector Network/Signal Analyzer, Logic Analyzer, etc. Â· Programming language: C/C++, Python, Java,
Matlab, and LabView Â· Circuit design software: SPICE, NI Multisim Â· PCB design software: Eagle, PCB Artiest
Experience
Working 
RF Systems Engineer
 
May 2014
 
to 
Current
 
Company Name
Qua..."
30,1536,"SOFTWARE ENGINEERING ANALYST
Skills
Programming Languages: C, SQL, Python, R, Tableau 
developer 
Tools: HP ALM Quality center, HP QTP, MS office, Trello- Project
management tool, Streak CRM.
Accomplishments
Certifications: Coursera Introduction to interactive programming using Python,Rice University; Udemy certified SQL.
Experience
02/2017
 
to 
07/2017
Software Engineering Analyst
 
Company Name
 
ï¼​ 
City
 
, 
State
Enactus chapter of Thapar University 
Founded project Soul of the clay as th..."
31,1576,"FINANCE MANAGER/ OPERATIONS MANAGER
Career Overview
To obtain a full time position in Management Information Systems with emphasis on business analysis where I can demonstrate excellent
leadership, business and team work skills to produce effective results.
Qualifications
Technical help desk experience
Strong analytical skills
Strong collaborative skills
Document management
Excellent problem solving skills
Strong Communication Skills
Customer needs assessment
Requirements Analysis
Requirements G..."
32,2153,"Christopher Townes
Summary
Knowledgeable Information Technology Specialist capable of setting up and optimizing workstations, training users and assisting with process
improvement implementation in diverse areas. Familiar with Cicso business practices and IT standards. Excellent skills in infrastructure, data
management, and enterprise operations. Systematic IT professional proficient in network, project and emergency management. Able to install
hardware, patch software and configure internal sy..."
33,2045,"LEAD INFORMATION TECHNOLOGY SUPPORT SPECIALIST
Work History
Company Name
Company Name
Skills
Applications: 
MS Office Suite 2000-2016, O365, GroupWise, HEAT Call Logging, Crystal Reports, T3 VoiceMail, 
NetMotion, Novell
iManager, Active Directory Client/Server: 
Heatweb-fs Platforms: 
Windows 2000/XP/7/8/10, UNIX, DOS
Experience
03/2016
 
to 
Current
Lead Information Technology Support Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Perform lead worker functions including assigning, coordinati..."
34,1563,"SYSTEMS ENGINEERING MANAGER
Summary
Multifaceted Technical Manager with a broad spectrum of experience and knowledge excelling at being a conduit between the technical domain
and financial processes. Proficient in numerous areas from hardware engineering, software engineering and subcontracts management. Technical
Manager for $60M+ in complex software development including the functional management of 70+ Systems Engineers, Software Engineers, Test
Engineers, Technical Artists and Game Developer..."
35,1533,"INDUSTRIAL ENGINEERING INTERN
Profile
Outstanding productivity as high potential project supervisor and design engineer. Solid analytic and communication skills to resolve complex
problems quickly and efficiently. Dynamic team leader with front-line experience in motivating team workers towards achieving specific goals.
Hands-on experience in data analysis, discrete event simulations, manufacturing processes, process improvement, machine shop practices, welding
and fabrication, and quality contr..."
36,2068,"MASTER DATA MANAGER
Experience
Master Data Manager
 
, 
01/2019
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Aligning 100+ supply chain-related master data attributes to ensure the following guidelines are met:.
Data Stewardship - Appropriate business units and ownership established to validate appropriate values, definitions and 
impact
documentation for all master data fields.
Data Quality - Applicable controls are set in conjecture with IT to ensure that a proactive approach is taken..."
37,1502,"CORPORATE ENGINEERING SUPPORT TECHNICIAN
Summary
TECHNICAL SUPPORT ENGINEER Technical Support 
Telecom Support 
Networking Support 
Software/PC/LAN Troubleshooting
Accomplished in Technical Support with 4 years of experience troubleshooting and maintaining user applications, workstations, and accounts
across multiple platforms (OS X, Linux, Windows, Android, iOS). Updated and written user-facing and IT-facing technical. *Provides outstanding
customer service and a strong ability to communicate t..."
38,1236,"WMS CONSULTANT
Objective
Looking for the position of a supply chain consultant, where I can optimize a company's business, by 
providing supply chain solutions and building
an efficient customer relationship.
Summary of Skills
Strong understanding of supply chain principles with an expertise in warehouse management.
Functional knowledge in the end to end warehouse systems with an experience in Manhattan Associates' Warehouse Systems.
Complete understanding of Inbound, Inventory and Outbound in a..."
39,2360,"SALES ENGINEER
Profile
Write professional summary using keywords for application scanning robots. 
Tailor resume to specific advertised position. Paragraph: 26 years of
experience in the Engineering and Construction fields (2 - SENTENCES) ; 8 years project management experience | Sustainable design
experience from conceptualization to building occupancy | Diverse client profile: Medical, Research & Development, Commercial, Educational and
Industrial 
(10 plus years (not exact dates or culminatin..."
40,30,"ACCOUNTANT
Summary
Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led
design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages,
significantly improving billing and reporting processes. 
Excellent management skills, encouraging career growth of subordinates through additional
training and opportunities. 
Keep up-to-date with indust..."
41,1164,"IT CONSULTANT
Professional Summary
Talented IT professional specializing in leading high-performing and multi-disciplinary teams from product development through successful product
launches. Accustomed to managing multiple projects and priorities in fast-paced environments.
Skills
Database design
Excellent problem-solving abilities
Windows and Linux
Website and portal monitoring
Network maintenance
Data backup and retrieval
Product templates
Brand development
PHP
Excellent communication skills
S..."
42,1840,"CORPORATE REGIONAL RECRUITER
Summary
Highly driven Recruiter who maintains a positive attitude under pressure and welcomes the challenge and responsibility of producing results quickly
for clients.
Highlights
Recruiting and selection techniques
Proficient communicator
Fluent in 
Spanish
Practiced in HRIS technologies
 
iCIMS Applicant Tracking software
Talent assessments
Hiring recommendations
Experience
Corporate Regional 
Recruiter
 
06/2015
 
to 
Current
 
Company Name
 
City
 
, 
State
Respo..."
43,1284,"PROGRAM MANAGER & DESIGNER
Professional Summary
A talented program designer and learning specialist with experience developing and managing curricula across cultural, academic and organizational
contexts. With a background in Brain & Cognitive Science and Learning Design, I bring a strong understanding of how the brain functions to
inform the design of effective learning experiences. Experienced project manager adept at leading projects from concept through completion with a
high degree of cultu..."
44,2482,"TEACHER
Summary
Highly ethical, dependable, and diligent expert in the Curriculum Development field.
Highlights
Curriculum development and assessment
MS Office proficient
Strong communicator
Instructional design
e-learning tools
Learning Management Systems
Accomplishments
Designed 
effective lesson
 Â plans focused on age and level-appropriate material.
Experience
Company Name
 
June 2012
 
to 
Current
 
Teacher
 
Designed research based curriculum for writing instruction using the Trivium appro..."
45,2101,"INFORMATION TECHNOLOGY INSTRUCTOR
Summary
Seventeen years experience in the information technology field. Seven years experience in curriculum design and computer based training
development. Group and project management experience for over twelve years. Advanced problem solving skills and expertise. Advanced
customer service training and experience Curriculum 
Data Analysis 
Other Â· Curriculum design 
Â· Advanced Data Analysis 
Â· Student counseling
Â· Learning analysis 
Â· Market analysis 
Â· ..."
46,2102,"IT TECHNOLOGY SPECIALIST
Professional Summary
Analyst with extensive experience in Information Technology. Proficiencies include trouble shooting hardware and software issues.
ExperiencedÂ Service techÂ with excellent client and project management skills. Action-oriented with strong ability to communicate effectively
with technology, executive, and business audiences.
Core Qualifications
TCP/IP, Network monitoring and tools, storage management, knowledge of desktop support procedures and active ..."
47,2114,"DIRECTOR OF INFORMATION TECHNOLOGY
Executive Profile
Director of Information Technology Project Manager * Business Analyst * Technical Support Analyst Visionary and highly accomplished
Information Technology executive with success spanning 20+ years in high-performance, multi-faceted environments. 
Innovative and quality-driven
professional to oversee enterprise resource planning, data and voice networking, software development, performance analysis and other critical
business processes. 
Expert..."
48,817,"BUSINESS DEVELOPMENT EXECUTIVE
Summary
Process oriented Data Analyst and Delivery Lead with 5+ years proven track record of analyzing Business Intelligence to increase top line and
bottom line of the business vertical. Reduced costs of manufacturing signaling systems by 10% and increased sales by 25% by analyzing operating
data. 
Closely worked with business clients and SMEs to collect, clarify and translate business requirements into functional and technical
requirements. Demonstrated logical a..."
49,1742,"MECHANICAL DESIGN ENGINEER INTERN
Summary
Over 2 years of combined professional and educational experience in 3D Modelling and Product Design 1 year of hands-on experience in FEA,
Stress Analysis, Numerical Modelling and Static / Dynamic Analysis Certified in Product Design / Analysis, Engineering Mechanics and OCTG
Researched in the fields of CFD and Design of Heat Transfer Mechanisms Internship experience as Maintenance Engineer Well rounded
Professional with a passion to innovate and improve ..."
50,2048,"Objective
To obtain a position in the information technology, personnel development, or computer science field to help manage, develop, and support
projects and individuals.
ADJUNCT INFORMATION TECHNOLOGY INSTRUCTOR
Experience
Adjunct Information Technology Instructor
 
01/2014
 
to 
Current
 
Company Name
 
City
 
, 
State
Taught courses concerning the Python, Visual Basic, and C# programming languages.
Sat on CIT advisory board committee to improve and recruit students to the KCTCS CIT program..."
51,1443,"SENIOR DIGITAL MARKETING ANALYST
Summary
Highly analytical and process-oriented data analyst with in-depth knowledge of 
marketing project management, data manipulation and visualization.
Furnish insights, analytics and business intelligence to advance opportunity identification, process reengineering and corporate growth. Core
Qualifications 
Market Segmentation Business Intelligence Reporting Regression Analysis Business Analysis Dashboard generation Data Mining
Data Modeling Statistical Analy..."
52,2335,"SALES
Career Overview
During the course of my career as an IT Professional, I have developed a varied set of I.T. and business related skills. 
I hold expert knowledge in
applying technology to business processes resulting in a more cost effective and efficient enterprise. 
My accomplishments as a major player in the
successful pioneering and implementation of the ""Paperless Office"" in 33 local Virginia agencies, created a paradigm shift in the culture of how
agencies currently do business. 
The..."
53,1486,"ENGINEERING ASSOCIATE
Profile
Team-oriented Engineering Associate with over 8 years experience designing, developing, maintaining, and testing electro-mechanical systems.
Skills
Electro-mechanical design 
JMP
Microsoft Visual Basic 
Microsoft Excel
Vision system programming 
Microsoft power point
Electronic computer systems 
Microsoft Visio
Engineering software 
Six Sigma 5X methodology
Strong presentation skills 
Adaptable
Process improvement 
Electrical Troubleshooting Tools
Team player 
Abili..."
54,2136,"INFORMATION TECHNOLOGY SPECIALIST(DISCOUNTPCFIX)
Summary
I am obsessed with technology. It's power to change everything. Technology fuels my passion and commitment to helping organizations do what
they set out to. When I engage, I bring fresh ideas that help your team galvanize performance. Refine your strategy. Spark new energy.
The futureâ€”and how we get thereâ€”depends on those who build, connect, create and transform our world.
Accomplished with over 10 years of information technology suppo..."
55,1539,"ENGINEERING SYSTEMS INSTALLER
Summary
Seasoned Information Technology professional with over 7 plus years of experience working in various industries. Excellent knowledge on
computer hardware, software, peripherals, central processing units, network administration, servers, network routers, Microsoft applications,
technology support specialist, Windows OS, Windows Server, Mac OS, Managing, QA testing, client support, and help desk. Also highly
experienced in procedures for installing, configurin..."
56,2172,"MARKET ANALYST PROMOTED TO ASSISTANT DIRECTOR OF BRAND STRATEGY
Professional Summary
Dear Cristina and team, The second I found out about this position, my I found myself extremely excited. I knew right away this is something I
have to be a part of, and something I'd deeply regret if I didn't try. I'm looking to really start my career and be involved with something I can grow
into and invest myself in long term. I see that in the Customer Marketing Coordinator position, and couldn't be more exci..."
57,1328,"LEAD INTERACTION DESIGNER
Summary
Senior UX/UI Designer Profile: Tim has been involved in user centered design for over 20 years, with a focus on human factors and usability. He
has worked on a wide variety of projects focusing on improvement of functionality and performance. 
He is an expert with Heuristic evaluation,
usability, developing and evaluating user interfaces (GUI design), iterative design methodology and human computer interaction (HCI). Areas of
experience: Usability & Interaction ..."
58,640,"AVIATION ENGINEER
Profile
Innovative Electrical Engineer specialized in operations management.Team-oriented Electrical Engineer with over four years experience designing,
developing and testing electronic products.Skilled Electrical Engineer with over 2 years experience refining workflow processes and improving
organizational efficiency.Experienced CAD Drafter with solid knowledge of the practical application of engineering science and technology. Proven
ability to manage multiple projects and m..."
59,2456,"TEACHER
Summary
An elementary-school teacher with many years of success in teaching classes and developing children's learning ability/agility, known for her
superior communication skills with children, parents and staff. Â Desire to inspire and motivate children to achieve their best. Â Able to inspire,
comfort and build self-esteem, while demonstrating sound work ethics, cultural sensitivity/diversity, flexibility and creativity. Â 
 Mature and
professional 
teacherÂ 
 who adapts to new situat..."
60,1527,"THERMAL ENGINEERING INTERN
Summary
Graduating Ph.D. candidate with a research focus on developing large-scale computational models using statistics and machine learning
approach. Interested in a career as a computational scientist or quantitative software developer.
Accomplishments
FEM Analysis of 1-D Aluminum Bar with Sinusoidal Body Force Conducted meshing and force analysis on MATLAB.
Correlated the results with ABAQUS.
FEM Heat Transfer Analysis of 2-D Plate with Hole with Thermal Load and B..."
61,111,"ACCOUNTANT
Summary
Flexible bookkeeper/ accountant who adapts seamlessly to constantly evolving accounting processes and technologies.
Highlights
Account reconciliations
Accounts Payable/Receivable 
Complex problem solving
Bank reconciliations 
Creative Problem Solving
Budget analysis & preparation 
Effective time management
Complex problem solving 
Excellent managerial techniques
Cost accounting 
Multi-Task Management
General ledger accounting 
Strong communication skills
Periodic financial rep..."
62,1516,"QA ENGINEERING MANAGER
Professional Summary
Seasoned Engineering Manager with ability to build and motivate high-performing engineering team with over 14+ years of experience in cards and
payments industry, committed to rapidly and efficiently completing projects by leveraging team-based frameworks to best leverage available
engineering talent. Self-motivated, forward thinking mindset, solution-focused, clear communicator, decision maker and problem solver.
Skills
QA Engineering software experti..."
63,757,"REGIONAL IT MANAGER
Professional Summary
Exceptional IT Manager talented at personnel management, vendor management and business strategy development. Technically-savvy with
outstanding relationship building, training and presentation skills.
Languages spoken:
 
English, Conversational Chinese
Skills
Team leadership
Budgeting and finance
Project management
Process implementation
Staff development
Data management
Self-motivated
Strong verbal communication
Powerful negotiator
Conflict resolution
R..."
64,1978,"HR DIRECTOR
Summary
Human Resource Professional Confident, Resourceful Human Resources professional, with academic background in human 
resources
management and hands-on experience hiring, training, orientating, and developing employees that currently serve in a one person role managing 63
employees for a fast growing organization.
Highlights
Analytical Skills 
Good Interpersonal Skills 
Organizational Skills 
Communication Skills
Recruiting and Staffing Performance Management 
Employee Relation..."
65,1604,"FINANCE SPECIALIST
Summary
Highly motivated and results-oriented professional with two years of experience in high-pressure finance and accounting environments. Innovative
and adaptive thinker who constantly seeks to improve efficiencies and profitability
Highlights
Variance analysis
Financial modeling
Superior time management
Account reconciliation
Advanced Excel
Salesforce
Board Report preparation
10-Q and 10-K
Accomplishments
Reduced cost of processing payments in accounts payables by 95% fro..."
66,1397,"MEDIA / ADVERTISING COORDINATOR
Summary
Knowledgeable and driven Copywriter and Communications professional offering expertise in writing, public speaking, advertising, vendor and
print media relations. Superb writer and editor who communicates effectively with target audiences through strategic communication techniques,
brand management and through Social Media Platforms.
Highlights
â€¢
 Â 
Customer service-focused
Relationship building expert
Copywriter and copyediting
Project management
Excep..."
67,1042,"UTILITY ENGINEER
Profile
Detail oriented and motivated Chemical Engineer with strong research, analytical and problem solving skills seeks a position in the industry. Team
player with proven strengths in customer relationship management, leadership, and communications skills. Demonstrated ability to multitask, and
work under pressure to meet critical deadlines. Fluent Hindi-Urdu, English
Areas of Expertise
Site Manager, Gamry VistaShield, and Microsoft Office Design Software: Matlab, Aspen Plus ..."
68,782,"TEST ANALYST-INTERN/CONTRACTOR
Profile
3+ years of professional experience in Software Testing. Experience in working with Agile Software Development. Strong scripting skills with
good expereince in test automation. Expertise in Manual and Automation testing of various web and mobile- based applications. Good
programming skills accompanied by excellent analytical and problem solving skills. Hands on experience in preparing Test Plans, Test Cases,
Automated Tests and executing the same. Proven ex..."
69,2064,"INFORMATION TECHNOLOGY SPECIALIST
Professional Summary
To secure a position as an Information Technology in a challenging and competitive environment, where my information systems, and network
development, design , diagnostics which will 
fully utilized, and offer new and refreshing ideas in an environment for improvement and efficiency in
Networking and Security related areas and offer an opportunity for advancement. Troubleshooting and analytical skills with capacity to accurately
identify and..."
70,1245,"CONSULTANT
Professional Summary
High-achieving management professional and effective consultant possessing excellent communication, organizational and analytical capabilities with
about 4 years of experience in devising innovative strategies and solutions to resolve complex business challenges. Adept at managing projects,
vendors, analyzing organizational operations, and performing customer journey, competitor and gap analysis.
High-achieving management professional and effective consultant with..."
71,2082,"INFORMATION TECHNOLOGY AND AWS ADMIN INTERN
Experience
Information Technology and AWS Admin Intern
 
, 
04/2019
 
Company Name
 
â€“ 
City
 
, 
State
 
Researched and implemented a secure cloud infrastructure for migrating the financial data into AWS with seamless integration 
for company's
financial department.
Achieved an overall increment of 30% in efficiency by migrating the company's infrastructure to AWS cloud.
Reduced the company's infrastructure cost by 10 times.
Implemented secure off-s..."
72,2052,"INFORMATION TECHNOLOGY SPECIALIST
Professional Profile
To continue work in the Information Technology field while developing my skills in Information Systems and Networking.
Experience
Information Technology Specialist
 
April 2015
 
to 
Current
 
Company Name
Set up and maintained the network infrastructure both wired and wireless configuration.
Setup and maintained all user's computers including hardware and software.
Set up and assisted users with their e-mail accounts.
I maintained security ..."
73,1496,"CORPORATE PROCESS/SYSTEMS ENGINEERING MANAGER
Executive Summary
High-energy Engineering Manager driven to cut company costs and boost company revenue through innovative management techniques.
Organized and diligent, with excellent written, oral and interpersonal communication skills. Results-focused management professional offering 30
years of progressive leadership experience. Transforms high-potential staff into outstanding leaders who demonstrate the creativity and savvy that
is critical to f..."
74,861,"SR. BUSINESS DEVELOPMENT DIRECTOR
Professional Summary
Highly ambitious in business development with background in sales, and marketing, Â Expertise in market analysis, forecasting and client
needs assessments.
Motivated in business sales with solid experience managing all levels of large-scale projects, including budgeting and administration.
Experienced Â professional with strong leadership and relationship-building skills.
Skilled Â with experience in the Aerospace industry. Familiar with spa..."
75,592,"PASSENGER SERVICES OFFICER
Professional Summary
A hard working and self-motivated Australian professional willing to learn and develop new skills. I am a dedicated, organised and methodical
individual. I have good interpersonal skills, am an excellent team worker with an active and dynamic approach to work. I am flexible, reliable and
possess excellent time keeping skills. As an aspiring business professional, I am looking to utilize my current analytical skills and knowledge as well
as further ..."
