Rank,Resume Index,Cosine Similarity,Recruiter Feedback,Candidate Feedback,Resume Snippet
11,2273,0.10529517813947095,"Semantic Similarity Score: 0.08. Matching Keywords: seeking, solving, strong, experience, analysis, problem, data, machine, learning. Missing Keywords: candidate, python, expertise, real, projects, engineer, abilities, demonstrate, world, hands, software.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, projects, engineer, abilities, demonstrate, world, hands, software.","SALES COORDINATOR 
 Summary 
 Current MS of Data Analytics graduate student with exposure to data analysis and modeling skills . Seeking evolutionary role in analytics that will 
 allow to adapt and change to company and problem solving needs . 
 Skills 
 Excellent quantitative skills Advanced MS Office 
 knowledge 
 development Business Domain , Statistics and Interpretation , Mining , 
 Strong knowledge of R , Excel Advanced Excel 
 predictive analysis , and coding 
 modeling 
 and exploration..."
12,2112,0.1037739914132733,"Semantic Similarity Score: 0.09. Matching Keywords: seeking, solving, experience, analysis, problem, engineer, data, software. Missing Keywords: candidate, python, expertise, real, hands, projects, strong, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, hands, projects, strong, demonstrate, abilities, world, machine, learning.","INFORMATION TECHNOLOGY SPECIALIST 
 Experience 
 Information Technology Specialist , 08/2015 to 05/2020 
 Company Name â€ “ State 
 Build , implement or support electronic health records and other systems that store patient 's data . 
 Assisted in network management and software development . 
 Took periodic review of set standards and database . 
 Principal Chemical Engineer / Information Technology Specialist , 10/2005 to 06/2015 
 National Board for Technology Incubation , Abuja Nigeria ( Fed..."
13,405,0.0978140703367254,"Semantic Similarity Score: 0.09. Matching Keywords: experience, software, data, learning. Missing Keywords: candidate, python, expertise, real, hands, projects, solving, strong, analysis, problem, engineer, abilities, demonstrate, world, machine, seeking.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, hands, projects, solving, strong, analysis, problem, engineer, abilities, demonstrate, world, machine, seeking.","ONLINE LEARNING COORDINATOR - PROGRAM TRAINING AND SUPPORT 
 Summary 
 To effectively and innovatively influence student and staff knowledge and skills with learning technologies and learning management systems through 
 support and online education . 
 Core Qualifications 
 Creating and presenting district- 
 level staff development for 
 educational software programs 
 Multiple Learning Management System platform experience : Schoology , Desire2Learn ( D2L ) , 
 Creating and facilitating all r..."
14,240,0.097716183301113,"Semantic Similarity Score: 0.11. Matching Keywords: python, expertise, real, software, strong, experience, analysis, problem, engineer, data, world, hands, learning. Missing Keywords: candidate, projects, solving, demonstrate, abilities, machine, seeking.","Consider adding details to showcase the following skills/keywords: candidate, projects, solving, demonstrate, abilities, machine, seeking.","VP , PRINCIPAL 
 Summary 
 I am highly skilled , growth mindset IT professional having more than 20 years experience mostly in financial industry related with providing 
 advanced data solutions using innovative database technology . Very innovative , creative , great problem solver and have achieved the highest ratings 
 consistently for more than 10 years . Continuously learning , adapting and evolving by overcoming challenges faced during professional career . I am 
 fortunate to be a part of..."
15,24,0.09724185363940886,"Semantic Similarity Score: 0.09. Matching Keywords: expertise, real, seeking, projects, experience, analysis, data, software. Missing Keywords: candidate, python, hands, solving, strong, problem, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, hands, solving, strong, problem, engineer, abilities, demonstrate, world, machine, learning.","ACCOUNTANT 
 Summary 
 Senior - Level IT Finance Management Professional Highly knowledgeable , dedicated and ethical Senior - Level IT Management Professional , 
 credited with 20 years of expertise in all facets of accounting , financial management , financial analysis , and controllership of IT operating & capital 
 budgets within high - profile corporations . Experienced in various aspects of extensive change management in a corporate environment , outsourcing 
 within transfer of duties , a..."
16,1533,0.09646148956333236,"Semantic Similarity Score: 0.09. Matching Keywords: hands, projects, experience, analysis, engineer, data, machine. Missing Keywords: candidate, python, expertise, real, seeking, software, solving, strong, problem, demonstrate, abilities, world, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, seeking, software, solving, strong, problem, demonstrate, abilities, world, learning.","INDUSTRIAL ENGINEERING INTERN 
 Profile 
 Outstanding productivity as high potential project supervisor and design engineer . Solid analytic and communication skills to resolve complex 
 problems quickly and efficiently . Dynamic team leader with front - line experience in motivating team workers towards achieving specific goals . 
 Hands - on experience in data analysis , discrete event simulations , manufacturing processes , process improvement , machine shop practices , welding 
 and fabricat..."
17,1048,0.09589580110064069,"Semantic Similarity Score: 0.08. Matching Keywords: real, projects, experience, engineer, data. Missing Keywords: candidate, python, expertise, seeking, hands, software, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, seeking, hands, software, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","REGIONAL DEVELOPMENT MANAGER 
 Summary 
 Be a strategic leader of an organization , utilizing creativity , innovation , experience , technical education , people skills and business relationships to 
 inspire the will to win through the development of best in class people that deliver best in class results 
 Experience 
 Company , State Regional Development Manager 01/2003 to Current 
 Real Estate COO , Head of North America Real Estate Operations ; Accountable for all Project Management , Trans..."
18,1148,0.09491221418157268,"Semantic Similarity Score: 0.10. Matching Keywords: expertise, projects, solving, experience, analysis, problem, engineer, data, software. Missing Keywords: candidate, python, real, seeking, hands, strong, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, real, seeking, hands, strong, demonstrate, abilities, world, machine, learning.","CONSULTANT 
 Profile 
 Skilled professional with 15 years of experience in electrical and quality engineering for numerous engineering and quality control processes . 
 Expertise in creating detailed test plans and test cases for optimal quality control . Solid background in various testing methodologies for both client- 
 facing and non - client - facing procedures and products . 
 Experience 
 Customer Relations 
 Â Monitored customer technical related issues 
 Â Maximized operational efficien..."
19,779,0.09400204847241259,"Semantic Similarity Score: 0.07. Matching Keywords: real, solving, experience, analysis, problem, software. Missing Keywords: candidate, python, expertise, seeking, hands, projects, strong, data, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, seeking, hands, projects, strong, data, engineer, abilities, demonstrate, world, machine, learning.","
 Professional Summary 
 Motivated real estate professional with 16 years of experience . Versed in all aspects of real estate , time management , negotiation , conflict 
 resolution , property management , asset and portfolio management and administrative functions . 
 Core Qualifications 
 UT Real Estate License Asset Management 
 Accredited Buyer RepresentativeTitle and 
 REO and Foreclosures Leadership 
 Traditional Real Estate Conflict Management 
 Short Sales Negotiation 
 Experience 
 10/..."
20,1742,0.09350344187344592,"Semantic Similarity Score: 0.11. Matching Keywords: python, projects, strong, experience, analysis, engineer, hands. Missing Keywords: candidate, expertise, real, seeking, software, solving, problem, demonstrate, abilities, data, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, software, solving, problem, demonstrate, abilities, data, world, machine, learning.","MECHANICAL DESIGN ENGINEER INTERN 
 Summary 
 Over 2 years of combined professional and educational experience in 3D and Product Design 1 year of hands - on experience in , 
 Stress Analysis , Numerical Modelling and Static / Dynamic Analysis Certified in Product Design / Analysis , Engineering Mechanics and OCTG 
 Researched in the fields of CFD and Design of Heat Transfer Mechanisms Internship experience as Maintenance Engineer Well rounded 
 Professional with a passion to innovate and improve..."
21,2051,0.09125420114765845,"Semantic Similarity Score: 0.11. Matching Keywords: python, projects, solving, experience, analysis, problem, data, software. Missing Keywords: candidate, expertise, real, seeking, hands, strong, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, strong, engineer, abilities, demonstrate, world, machine, learning.","DIRECTOR OF INFORMATION TECHNOLOGY 
 Professional Summary 
 Dynamic Information Technology Manager with 13 years of IT leadership experience including oversight of infrastructure , application support and 
 cybersecurity services . Dedicated to customer satisfaction with focused delivery of technical solutions . Proven leader in directing operations , 
 maintenance and support of complex systems . Develops creative business solutions , leveraging diverse methodologies and delivering engineering ..."
22,292,0.09115359267591001,"Semantic Similarity Score: 0.11. Matching Keywords: python, projects, experience, engineer, data, software. Missing Keywords: candidate, expertise, real, seeking, hands, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","SOFTWARE DEVELOPER 
 Professional Summary 
 Enthusiastic computer engineer eager to contribute to team success through hard work , attention to detail and excellent organizational skills . 
 Technical professional with complete understanding of entire software development life cycle . Respectful self - motivator gifted at finding reliable 
 solutions for software issues . Experienced in c # , python , HTML , SQL , node.js/javascript and working knowledge of Restful API design & 
 implementations..."
23,2068,0.09044003072098855,"Semantic Similarity Score: 0.10. Matching Keywords: python, real, projects, strong, experience, analysis, data, software. Missing Keywords: candidate, expertise, seeking, hands, solving, problem, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, seeking, hands, solving, problem, engineer, abilities, demonstrate, world, machine, learning.","MASTER DATA MANAGER 
 Experience 
 Master Data Manager , 01/2019 to Current 
 Company Name â€ “ City , State 
 Aligning 100 + supply chain - related master data attributes to ensure the following guidelines are met : . 
 Data Stewardship - Appropriate business units and ownership established to validate appropriate values , definitions and impact 
 documentation for all master data fields . 
 Data Quality - Applicable controls are set in conjecture with IT to ensure that a proactive approach is ..."
24,549,0.08996594931047275,"Semantic Similarity Score: 0.10. Matching Keywords: python, expertise, experience, analysis, engineer, data, software. Missing Keywords: candidate, real, seeking, hands, projects, solving, strong, problem, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, real, seeking, hands, projects, solving, strong, problem, demonstrate, abilities, world, machine, learning.","SOFTWARE ENGINEERING CO - OP 
 Summary 
 Highly skilled and Accomplished computer software specialist with more than 7 + years of technical experience in programming development 
 across multiple platforms , software design , development and integration . Advanced knowledge of MySQL , CSS , C++ with expertise in all aspects 
 of the software development life cycle , including requirements analysis , design , development and production support . Experienced Software 
 Developer dedicated to const..."
25,802,0.0894690151184363,"Semantic Similarity Score: 0.09. Matching Keywords: python, projects, solving, experience, analysis, problem, abilities, data, world, machine, software. Missing Keywords: candidate, expertise, real, seeking, strong, engineer, demonstrate, hands, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, strong, engineer, demonstrate, hands, learning.","BUSINESS DEVELOPMENT MANAGER 
 Summary 
 With 11 years of diverse managerial and marketing experience penetrating in domestic and international markets including Manufacturing , 
 Engineering , Food and IT , I have honed my communication and marketing research abilities to gauge demand for products and explore new 
 clients . Having managed several big projects , I have learnt to maintain equanimity under pressure and achieve goals both as a cross functional team 
 member and individual contribu..."
26,2360,0.08859247851669207,"Semantic Similarity Score: 0.09. Matching Keywords: projects, strong, experience, analysis, engineer. Missing Keywords: candidate, python, expertise, real, seeking, hands, software, solving, problem, demonstrate, abilities, data, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, seeking, hands, software, solving, problem, demonstrate, abilities, data, world, machine, learning.","SALES ENGINEER 
 Profile 
 Write professional summary using keywords for application scanning robots . resume to specific advertised position . Paragraph : 26 years of 
 experience in the Engineering and Construction fields ( 2 - SENTENCES ) ; 8 years project management experience | Sustainable design 
 experience from conceptualization to building occupancy | Diverse client profile : Medical , Research & Development , Commercial , Educational and 
 Industrial ( 10 plus years ( not exact dates o..."
27,831,0.08801194423603016,"Semantic Similarity Score: 0.08. Matching Keywords: candidate, real, strong, experience, abilities, data, hands, software. Missing Keywords: python, expertise, seeking, projects, solving, analysis, problem, engineer, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: python, expertise, seeking, projects, solving, analysis, problem, engineer, demonstrate, world, machine, learning.","ASSISTANT TO BUSINESS DEVELOPMENT ADMINISTRATOR 
 Professional Profile 
 Organized administrative professional with hands - on experience supporting business areas such as real - estate , finance , database management , 
 customer service and human resources . Collaborative team player with strong communication , decision - making and time management abilities . 
 Qualifications 
 Conduct follow - up evaluations with client and employer 
 Able to meet performance and outcome goals 
 Develop job ..."
28,1955,0.08782598829189005,"Semantic Similarity Score: 0.11. Matching Keywords: candidate, projects, strong, experience, analysis, data, world, hands, learning, software. Missing Keywords: python, expertise, real, solving, problem, engineer, abilities, demonstrate, machine, seeking.","Consider adding details to showcase the following skills/keywords: python, expertise, real, solving, problem, engineer, abilities, demonstrate, machine, seeking.","VOLUNTEER HR -IVOLUNTEER 
 Summary 
 Sponsorship not required to work in the A successful Human Resources Professional , with a Masters qualification in Human Resources and 
 experience in a challenging environment Key skill sets include Recruitment - Recruitment efforts , scheduling , posting positions , follow up and offer 
 letters . Seasoned executive with 10 + years Staffing , Technology Recruiting and Staffing experience with a highly successful track record at big 
 firms such as Nokia an..."
29,1506,0.08646782485295236,"Semantic Similarity Score: 0.10. Matching Keywords: candidate, seeking, projects, solving, experience, analysis, problem, engineer, abilities, learning. Missing Keywords: python, expertise, real, hands, strong, demonstrate, data, world, machine, software.","Consider adding details to showcase the following skills/keywords: python, expertise, real, hands, strong, demonstrate, data, world, machine, software.","ENGINEERING BUSINESS UNIT LEADER 
 Summary 
 I am seeking a position within a Maintenance / Engineering department . I have completed a Bachelor of Science degree in Engineering Technology 
 with a concentration in Computer Engineering and a minor in Computer Science from Middle Tennessee State University . I feel that I am a great 
 candidate to be employed in technical role due my education and experience with ArcelorMittal and PepsiCo . Course work for my degree 
 included instrumentation con..."
30,1443,0.08603476332125992,"Semantic Similarity Score: 0.11. Matching Keywords: experience, python, analysis, data. Missing Keywords: candidate, expertise, real, seeking, hands, projects, software, strong, solving, problem, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, projects, software, strong, solving, problem, engineer, abilities, demonstrate, world, machine, learning.","SENIOR DIGITAL MARKETING ANALYST 
 Summary 
 Highly analytical and process - oriented data analyst with in - depth knowledge of marketing project management , data manipulation and visualization . 
 Furnish insights , analytics and business intelligence to advance opportunity identification , process reengineering and corporate growth . Core 
 Qualifications Market Segmentation Business Intelligence Reporting Regression Analysis Business Analysis Dashboard generation Data Mining 
 Data Modeling ..."
31,854,0.08556309966268337,"Semantic Similarity Score: 0.11. Matching Keywords: python, solving, experience, analysis, problem, abilities, data, software. Missing Keywords: candidate, expertise, real, seeking, hands, projects, strong, engineer, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, projects, strong, engineer, demonstrate, world, machine, learning.","BUSINESS DEVELOPMENT ANALYST 
 Summary 
 Extensive Analyst experience with emphasis on Business Development and Data Analytic 
 Ambitious , detailed - oriented Business Professional with a high degree of mastery in analyzing complex business objectives and meeting deadlines 
 under pressure . Urgently adapts to challenges and changing environments . Achievement - driven with a demonstrated history of exceeding 
 development requirements and problem solving . Top - preforming at providing financi..."
32,1557,0.08540891008424346,"Semantic Similarity Score: 0.11. Matching Keywords: expertise, projects, strong, experience, engineer, abilities, software. Missing Keywords: candidate, python, real, seeking, hands, solving, analysis, problem, demonstrate, data, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, real, seeking, hands, solving, analysis, problem, demonstrate, data, world, machine, learning.","SOFTWARE ENGINEERING MANAGER 
 Summary 
 Multifaceted technical career with 15 + years ' track record of innovation and success . Accomplished , enthusiastic , and driven Software Engineer 
 with a solid history of effective systems engineering in / Server/ Web / Enterprise software and SaaS / SOA development . Well recognized 
 for strong leadership and project management abilities while leading cross - functional teams in fast - paced , competitive work environments . Willing 
 to multitask on..."
33,2038,0.08422492250145726,"Semantic Similarity Score: 0.11. Matching Keywords: python, projects, experience, engineer, data, software. Missing Keywords: candidate, expertise, real, seeking, hands, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, solving, strong, analysis, problem, demonstrate, abilities, world, machine, learning.","WORKING RF SYSTEMS ENGINEER 
 Qualifications 
 Microsoft office / Office for Mac , pages , numbers , keynote Â · software : , AWR Microwave Office . Â · test 
 instruments : Spectrum analyzer , Vector Network / Signal Analyzer , , etc . Â · Programming language : C / C++ , Python , , 
 Matlab , and LabView Â · Circuit design software : SPICE , NI Multisim Â · PCB design software : Eagle , PCB Artiest 
 Experience 
 Working RF Systems Engineer 
 May 2014 to Current Company Name 
 Qualification Â ..."
34,1527,0.0829078642718833,"Semantic Similarity Score: 0.10. Matching Keywords: candidate, hands, experience, analysis, data, machine, learning, software. Missing Keywords: python, expertise, real, projects, solving, strong, problem, engineer, abilities, demonstrate, world, seeking.","Consider adding details to showcase the following skills/keywords: python, expertise, real, projects, solving, strong, problem, engineer, abilities, demonstrate, world, seeking.","THERMAL ENGINEERING INTERN 
 Summary 
 Graduating Ph.D. candidate with a research focus on developing large - scale computational models using statistics and machine learning 
 approach . Interested in a career as a computational scientist or quantitative software developer . 
 Accomplishments 
 FEM Analysis of 1 - D Aluminum Bar with Sinusoidal Body Force Conducted meshing and force analysis on MATLAB . 
 Correlated the results with ABAQUS . 
 FEM Heat Transfer Analysis of 2 - D Plate with Hole..."
35,1572,0.08194892779224024,"Semantic Similarity Score: 0.09. Matching Keywords: projects, experience, problem, engineer, abilities, data, machine, software. Missing Keywords: candidate, python, expertise, real, seeking, solving, strong, analysis, demonstrate, world, hands, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, seeking, solving, strong, analysis, demonstrate, world, hands, learning.","SENIOR MANUFACTURING ENGINEERING 
 Qualifications 
 Web Handling , Printing , Extrusion , MS Office , Die Design , IPRIME , , , CNC , Polymer Processing , Servo Controls , 
 Calibrations , 6 Sigma , ASQ stats , Advance Regressions , AutoCad Inventor , DSC and , Instron testing methods , , 
 Pumps sizing plus many suppliers training sessions . Bedford Ind. Technical training seminars 
 Relevant Experience 
 National Society of Collegiate Scholars , Phi ( International Honor Society ) , National H..."
36,1284,0.08187992573897865,"Semantic Similarity Score: 0.09. Matching Keywords: projects, strong, experience, analysis, world, learning. Missing Keywords: candidate, python, expertise, real, seeking, hands, solving, data, problem, engineer, abilities, demonstrate, machine, software.","Consider adding details to showcase the following skills/keywords: candidate, python, expertise, real, seeking, hands, solving, data, problem, engineer, abilities, demonstrate, machine, software.","PROGRAM MANAGER & DESIGNER 
 Professional Summary 
 A talented program designer and learning specialist with experience developing and managing curricula across cultural , academic and organizational 
 contexts . With a background in Brain & Cognitive Science and Learning Design , I bring a strong understanding of how the brain functions to 
 inform the design of effective learning experiences . Experienced project manager adept at leading projects from concept through completion with a 
 high d..."
37,1913,0.08158318867210007,"Semantic Similarity Score: 0.07. Matching Keywords: candidate, real, strong, experience, analysis, problem. Missing Keywords: python, expertise, seeking, hands, projects, software, solving, data, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: python, expertise, seeking, hands, projects, software, solving, data, engineer, abilities, demonstrate, world, machine, learning.","VICE PRESIDENT - BUSINESS BANKING SALES MANAGER AND HEALTHCARE SPECIALTY BANKER 
 Executive Summary 
 Top Notch Financial Professional with diverse banking and financial services background which includes : Retail Bank Leadership , Healthcare 
 Specialty Banking , Corporate Banking , Real Estate Title Insurance , Real Estate Lending and New Construction , Private Banking and Credit 
 Management - Leasing . 25 + years Experience . 
 Core Qualifications 
 Â Leads Teams Naturally 
 Solid Collaborat..."
38,1516,0.08135060766163547,"Semantic Similarity Score: 0.11. Matching Keywords: python, expertise, projects, experience, analysis, problem, abilities, data, software. Missing Keywords: candidate, real, seeking, hands, solving, strong, engineer, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, real, seeking, hands, solving, strong, engineer, demonstrate, world, machine, learning.","QA ENGINEERING MANAGER 
 Professional Summary 
 Seasoned Engineering Manager with ability to build and motivate high - performing engineering team with over 14 + years of experience in cards and 
 payments industry , committed to rapidly and efficiently completing projects by leveraging team - based frameworks to best leverage available 
 engineering talent . Self - motivated , forward thinking mindset , solution - focused , clear communicator , decision maker and problem solver . 
 Skills 
 QA ..."
